NUMBER,S,NAME,SEQUENCE,SMILES
#1,F,bivalirudin,Molecular properties (MW*NR) beyond standard limits,
#2,F,goserelin,Molecular properties (MW*NR) beyond standard limits,
#3,F,desmopressin,Molecular properties (MW*NR) beyond standard limits,
#4,F,cetrorelix,Molecular properties (MW*NR) beyond standard limits,
#5,F,cyclosporine,Molecular properties (MW*NR) beyond standard limits,
#6,F,felypressin,Molecular properties (MW*NR) beyond standard limits,
#7,F,octreotide,Molecular properties (MW*NR) beyond standard limits,
#8,S,pyridoxal phosphate,NGVDGCNFYWLIFO-UHFFFAOYSA-N,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
#9,F,cyanocobalamin,Molecular properties (MW*NR) beyond standard limits,
#10,S,tetrahydrofolic acid,MSTNYGQPCMXVAQ-KIYNQFGBSA-N,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
#11,S,l-histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](Cc1cnc[nH]1)C(=O)O
#12,S,s-adenosylmethionine,MEFKEPWMEQBLKI-AIRLBKTGSA-O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
#13,S,pyruvic acid,LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(=O)O
#14,S,l-phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O
#15,S,biotin,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
#16,S,choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
#17,S,l-lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O
#18,S,l-arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,N=C(N)NCCC[C@H](N)C(=O)O
#19,S,vitamin c,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
#20,S,spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN
#21,S,l-aspartic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(=O)O)C(=O)O
#22,S,l-ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCC[C@H](N)C(=O)O
#23,S,l-glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H](N)C(=O)O
#24,S,adenosine monophosphate,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
#25,S,alpha-linolenic acid,DTOSIQBPPRVQHS-UHFFFAOYSA-N,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
#26,S,l-serine,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O
#27,S,l-methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O
#28,S,l-tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O
#29,S,calcitriol,GMRQFYUYWCNGIN-ZVUFCXRFSA-N,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
#30,S,xanthophyll,KBPHJBAIARWVSC-UHFFFAOYSA-N,CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CC(O)CC1(C)C
#31,S,l-cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O
#32,S,succinic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,O=C(O)CCC(=O)O
#33,S,riboflavin,AUNGANRZJHBGPY-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
#34,S,n-acetyl-d-glucosamine,MBLBDJOUHNCFQT-LXGUWJNJSA-N,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
#35,S,l-glutamic acid,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O
#36,S,glutathione,RWSXRVCMGQZWBV-WDSKDSINSA-N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
#37,S,phosphatidyl serine,UNJJBGNPUUVVFQ-ZJUUUORDSA-N,CCCC(=O)O[C@H](COC(=O)CC)COP(=O)(O)OC[C@H](N)C(=O)O
#38,S,glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O
#39,S,calcidiol,JWUBBDSIWDLEOM-DLBXBJKMSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
#40,S,pyridoxal,RADKZDMFGJYCBB-UHFFFAOYSA-N,Cc1ncc(CO)c(C=O)c1O
#41,S,creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N
#42,S,l-leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(=O)O
#43,S,l-tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
#44,S,l-cysteine,XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(=O)O
#45,S,thiamine,JZRWCGZRTZMZEH-UHFFFAOYSA-N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
#46,S,ergocalciferol,MECHNRXZTMCUDQ-FWTXJDITSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
#47,S,dihomo-gamma-linolenic acid,HOBAELRKJCKHQD-UHFFFAOYSA-N,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
#48,S,l-citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,NC(=O)NCCC[C@H](N)C(=O)O
#49,S,l-threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O
#50,S,nadh,BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
#51,S,folic acid,OVBPIULPVIDEAO-LBPRGKRZSA-N,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
#52,S,icosapent,JAZBEHYOTPTENJ-UHFFFAOYSA-N,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
#53,S,l-alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O
#54,S,l-valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O
#55,S,vitamin a,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
#56,S,vitamin e,GVJHHUAWPYXKBD-IEOSBIPESA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
#57,S,pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cc1ncc(CO)c(CO)c1O
#58,S,lipoic acid,AGBQKNBQESQNJD-UHFFFAOYSA-N,O=C(O)CCCCC1CCSS1
#59,S,l-isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(=O)O
#60,S,aspartame,IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
#61,S,cholecalciferol,QYSXJUFSXHHAJI-RWDMXNMGSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C
