,NUMBER,S,NAME,INCHI_KEY,SMILES,ACTIVITY_LABEL,ACTIVITY_PROBABILITY
6185,#6741,S,enzalutamide,WXCXUHSOUPDCQV-UHFFFAOYSA-N,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,1.0,0.931824564934
5293,#5814,S,3-[(2*2-dimethylpropanoyl)amino]-n-1*3-thiazol-2-ylpyridine-2-carboxamide,CAVCWRXFMNCBCM-UHFFFAOYSA-N,CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1,1.0,0.915696501732
4398,#4891,S,2-chloro-5-(3-chloro-phenyl)-6-[(4-cyano-phenyl)-(3-methyl-3h-imidazol-4-yl)- methoxymethyl]-nicotinonitrile,JVWHVGIRXILXMU-XMMPIXPASA-N,Cn1cncc1[C@H](OCc1nc(Cl)c(C#N)cc1-c1cccc(Cl)c1)c1ccc(C#N)cc1,1.0,0.913096427917
1711,#1846,S,(s*r)-fidarestat,WNKANLGXFYVJAI-QPUJVOFHSA-N,[NH]C(=O)[C@@H]1C[C@@]2(NC(=O)NC2=O)c2cc(F)ccc2O1,1.0,0.909851789474
1060,#1133,S,desonide,WBGKWQHBNHJJPZ-LECWWXJVSA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.905490100384
1280,#1373,S,ketazolam,PWAJCNITSBZRBL-UHFFFAOYSA-N,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,1.0,0.884511768818
5276,#5796,S,isopropyl (2s)-2-ethyl-7-fluoro-3-oxo-3*4-dihydroquinoxaline-1(2h)-carboxylate,KELNNWMENBUHNS-NSHDSACASA-N,CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,1.0,0.879891455173
2804,#3085,S,tazobactam trans-enamine intermediate,OTGPWYNMEILGRB-WPRPVWTQSA-O,C[C@](Cn1ccnn1)([C@@H](N/C=C/C=O)C(=O)O)[S+](=O)=O,1.0,0.874138116837
2343,#2559,S,cis-[4*5-bis-(4-bromophenyl)-2-(2-ethoxy-4-methoxyphenyl)-4*5-dihydroimidazol-1-yl]-[4-(2-hydroxyethyl)piperazin-1-yl]methanone,PVRYEWOXWGDQHA-FQLXRVMXSA-N,CCOc1cc(OC)ccc1C1=N[C@H](c2ccc(Br)cc2)[C@@H](c2ccc(Br)cc2)N1C(=O)N1CCN(CCO)CC1,1.0,0.863556981087
3540,#3912,S,bilh 434,KNRVCCXHLSHTFW-SEAFADMZSA-N,Cc1ccc2c(c1)C(=O)[C@@]1(O[C@H](c3ccc(Cl)c(Cl)c3)[C@@H](C(=O)Nc3ccc(-c4csnn4)cc3)[C@@H]1C(=O)O)C2=O,1.0,0.857489347458
4592,#5089,S,n-[4-(5-fluoro-6-methylpyridin-2-yl)-5-quinoxalin-6-yl-1h-imidazol-2-yl]acetamide,TYPILNNEZPSNTI-UHFFFAOYSA-N,CC(=O)Nc1nc(-c2ccc(F)c(C)n2)c(-c2ccc3nccnc3c2)[nH]1,1.0,0.828571021557
1642,#1772,S,fidarestat,WNKANLGXFYVJAI-UFBFGSQYSA-N,[NH]C(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c2cc(F)ccc2O1,1.0,0.816432714462
1206,#1297,S,etorphine,CAHCBJPUTCKATP-HBDRVVKHSA-N,CCCC(C)(O)C1C[C@@]23C=CC1(OC)C1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,1.0,0.764247894287
4854,#5354,S,(2s)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,YVXVTLGIDOACBJ-SFHVURJKSA-N,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,1.0,0.750343799591
4768,#5267,S,alpha-(2*6-dichlorophenyl)-alpha-(2-acetyl-5-methylanilino)acetamide,CJPLEFFCVDQQFZ-INIZCTEOSA-N,CC(=O)c1ccc(C)cc1N[C@H](C(N)=O)c1c(Cl)cccc1Cl,1.0,0.750070512295
5857,#6389,S,n-[3-(2-fluoroethoxy)phenyl]-n'-(1*3*4-trioxo-1*2*3*4-tetrahydroisoquinolin-6-yl)butanediamide,DQXBKUVWJSZHSI-UHFFFAOYSA-N,O=C(CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O)Nc1cccc(OCCF)c1,1.0,0.718106031418
6500,#7135,S,cefroxadine,RDMOROXKXONCAL-UEKVPHQBSA-N,COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,1.0,0.716972768307
4626,#5123,S,6-[(5-chloro-3-methyl-1-benzofuran-2-yl)sulfonyl]pyridazin-3(2h)-one,FXFPQPNUMWQRAO-UHFFFAOYSA-N,Cc1c(S(=O)(=O)c2ccc(=O)[nH]n2)oc2ccc(Cl)cc12,1.0,0.713551640511
1184,#1273,S,acetorphine,LFYBMMHFJIAKFE-PMEKXCSPSA-N,CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(OC(C)=O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,1.0,0.706677258015
478,#515,S,clorazepate,XDDJGVMJFWAHJX-UHFFFAOYSA-N,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1.0,0.699545800686
5615,#6140,S,(2s)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1*3-thiazolidin-4-one,KEGQNJITMFBVAC-HNNXBMFYSA-N,O=C1CS[C@@H](c2cccc(Br)c2)N1c1cc(Cl)ccc1O,1.0,0.697722554207
3534,#3905,S,2-amino-3-(cystein-s-yl)-isoxazolidin-5-yl-acetic acid,YLODKYYPRFTBNK-SLPGGIOYSA-N,N[C@@H](CS[C@@H]1C[C@H]([C@@H](N)C(=O)O)ON1)C(=O)O,1.0,0.686388134956
1093,#1170,S,cefoxitin,WZOZEZRFJCJXNZ-ZBFHGGJFSA-N,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,1.0,0.671763837337
535,#580,S,fluorescein,GNBHRKFJIUUOQI-UHFFFAOYSA-N,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,1.0,0.667044758797
1223,#1314,S,betacetylmethadol,XBMIVRRWGCYBTQ-GCJKJVERSA-N,CC[C@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,1.0,0.661692798138
5855,#6387,S,(1s)-2-oxo-1-phenyl-2-[(1*3*4-trioxo-1*2*3*4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate,NKBDSMREMMRFSI-INIZCTEOSA-N,CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1ccccc1,1.0,0.648389220238
923,#988,S,cefuroxime,JFPVXVDWJQMJEE-QMTHXVAHSA-N,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,1.0,0.640497863293
81,#91,S,erythromycin,ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0,0.635261416435
5856,#6388,S,(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1*3*4-trioxo-1*2*3*4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate,OVSAMUIBGQSLDC-INIZCTEOSA-N,CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1cccc(Cl)c1,1.0,0.607270896435
4917,#5421,S,(2z)-5'-bromo-2*3'-biindole-2'*3(1h*1'h)-dione ammoniate,IEQQJQHHJMQETK-UHFFFAOYSA-N,O=C1Nc2ccc(Br)cc2/C1=C1/Nc2ccccc2C1=O,1.0,0.606744349003
1601,#1726,S,2-amino-3-[5-(amino-carboxy-methyl)-2*3-dihydro-isoxazol-3-ylsulfanyl]-propionic acid,BKLXHXYNMPKLBR-ZXEDONINSA-N,N[C@@H](CS[C@H]1C=C([C@@H](N)C(=O)O)ON1)C(=O)O,1.0,0.577358901501
63,#72,S,flunisolide,XSFJVAJPIHIPKU-XWCQMRHXSA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.577086448669
3737,#4136,S,imazaquin,CABMTIJINOIHOD-QGZVFWFLSA-N,CC(C)[C@@]1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,1.0,0.575785279274
4853,#5353,S,(2s)-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,MMNRWNREMUMYQG-INIZCTEOSA-N,C[C@](O)(COc1c(F)c(F)c(F)c(F)c1F)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.0,0.574976921082
4048,#4478,S,cimicoxib,KYXDNECMRLFQMZ-UHFFFAOYSA-N,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,1.0,0.573365867138
1123,#1210,S,colchicine,IAKHMKGGTNLKSZ-UHFFFAOYSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.0,0.570702910423
