,ACTIVITY_PROBABILITY,DB_ID,MM_GBSA
0,0.9318245649,DB08899,-38.3894
1,0.9156965017,DB07903,-37.3708
2,0.9130964279,DB06953,-55.5908
3,0.9098517895,DB02101,-23.3255
4,0.9054901004,DB01260,-41.6662
5,0.8845117688,DB01587,-39.2805
6,0.8798914552,DB07884,-37.4918
7,0.8741381168,DB03445,-32.3401
8,0.8635569811,DB02872,-42.0974
9,0.8574893475,DB04330,-46.5971
6526,"7,54E+06",DB02685,-24.0011
6527,"7,19E+05",DB08258,-25.3392
6528,"7,14E+06",DB04836,-24.4059
6529,"6,78E+06",DB02428,-22.5921
6530,"6,56E+06",DB01460,-21.4969
6531,"6,42E+06",DB01766,-21.3915
6532,"6,40E+06",DB01591,-33.3668
6533,"6,01E+06",DB08259,-29.2548
6534,"5,44E+06",DB08385,-41.1290
6535,"4,88E+06",DB00120,-19.9981
