,NUMBER,S,NAME,INCHI_KEY,SMILES,ACTIVITY_LABEL,ACTIVITY_PROBABILITY
3064,#3370,S,radicicol,AECPBJMOGBFQDN-YMYQVXQQSA-N,C[C@@H]1C[C@H]2O[C@@H]2CCCCC(=O)C[C@H]2[C@H](Cl)C(=O)CC(=O)[C@H]2C(=O)O1,1.0,0.934419512749
6030,#6575,S,ethyl 3-[(e)-2-amino-1-cyanoethenyl]-6*7-dichloro-1-methyl-1h-indole-2-carboxylate,CXJCGSPAPOTTSF-UHFFFAOYSA-N,CCOC(=O)c1c(/C(C#N)=C\N)c2ccc(Cl)c(Cl)c2n1C,1.0,0.834817767143
264,#284,S,beclomethasone dipropionate,KUVIULQEHSCUHY-XYWKZLDCSA-N,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,1.0,0.818253099918
3978,#4397,S,halofuginone,LVASCWIMLIKXLA-YSSOQSIOSA-N,O=C(CC1NCCC[C@H]1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,1.0,0.812926411629
120,#132,S,alclometasone,FJXOGVLKCZQRDN-PHCHRAKRSA-N,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,1.0,0.799437403679
6322,#6888,S,tixocortol,YWDBSCORAARPPF-VWUMJDOOSA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CS,1.0,0.799044549465
703,#756,S,loteprednol,YPZVAYHNBBHPTO-MXRBDKCISA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)OCCl,1.0,0.79558968544
5546,#6072,S,(4r)-7-chloro-9-methyl-1-oxo-1*2*4*9-tetrahydrospiro[beta-carboline-3*4'-piperidine]-4-carbonitrile,LPFQFJAOMCGYCP-GFCCVEGCSA-N,Cn1c2c(c3ccc(Cl)cc31)[C@@H](C#N)C1(CCNCC1)NC2=O,1.0,0.782518327236
225,#242,S,megestrol acetate,URXWVWVPMJSAJD-KOORYGTMSA-N,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.0,0.775311172009
3412,#3767,S,mdl-29951,KNBSYZNKEAWABY-UHFFFAOYSA-N,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,1.0,0.774555981159
1117,#1203,S,cortisone acetate,ITRJWOMZKQRYTA-RFZYENFJSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,1.0,0.774148583412
