SMILES,ORIGIN
O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,OSM S4
c1ncc2n(c1C(NCc1cc(ccc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
O=C(N1CC(C=CC=C2)=C2C1)C3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43,OSM S4
c1ncc2n(c1C(NCc1ccc(cc1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(NCC1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(N1CCN(CC1)c1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(NCCN1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(N1CCCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(N1C(CCC1)c1ccccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(N1CCN(CC1)S(=O)(C)=O)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(N1CCOCC1)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
c1ncc2n(c1C(=O)N[C@@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,OSM S4
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32,OSM S4
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4Cl)N32,OSM S4
N#CC(C=C1)=CC=C1C2=NN=C3C=NC=C(NCCC4=CC(Cl)=CC=C4)N32,OSM S4
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(NCCC4=CC(Cl)=CC=C4)N32,OSM S4
O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,OSM S4
c1ncc2n(c1C(Nc1cccc(c1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,OSM S4
O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(NC4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=O)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(C(N4CC(C(F)=CC=C5)=C5C4)=O)N32,OSM S4
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,OSM S4
FC1=C(F)C=CC(C(OC)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,OSM S4
ClC1=CN=CC2=NN=C(C3=CC=C(C#N)C=C3)N21,OSM S4
ClC1=CN=CC2=NN=C(C3=CC=C(Cl)C=C3)N21,OSM S4
O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,OSM S4
O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,OSM S4
O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,OSM S4
O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,OSM S4
ClC1=CC=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=NC=C4)N32,OSM S4
ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(F)C(F)=C4)N32,OSM S4
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=C1,OSM S4
O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=NC=CC=C4,OSM S4
O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CN=CC=C4,OSM S4
N#CC(C=C1)=CC=C1C2=NN=C3N2C(OCC(OC)C4=CC=CC=C4)=CN=C3,OSM S4
O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)(F)F)C=C4,OSM S4
FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1,OSM S4
c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(cn2)c1ccc(cc1)Cl,OSM S4
c1ncc2cnc(n2c1OCCc1cc(c(cc1)F)F)c1ccc(cc1)Cl,OSM S4
OC(COc2cncc3nnc(C1CCCCC1)n23)c4ccccc4,OSM S4
OC(COc1cncc2nnc(CC)n12)c3ccccc3,OSM S4
OC(COc2cncc3nnc(c1ccccc1)n23)c4ccccc4,OSM S4
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32,OSM S4
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,OSM S4
FC(F)Oc1ccc(cc1)c2nnc3cncc(OC)n23,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](NC)C4=CC=CC=C4)N32,OSM S4
FC(F)Oc1ccc(cc1)c3nnc4cncc(OCC(N)c2ccccc2)n34,OSM S4
ClC(C=CC=C1)=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,OSM S4
ClC1=CC=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=C1,OSM S4
ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,OSM S4
C12=NN=C(C3=CC=CC=C3)N1C(OCCC4=CC=CC=C4)=CN=C2,OSM S4
FC1=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=CC(F)=C1,OSM S4
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,OSM S4
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,OSM S4
FC1=CC(C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)=CC(F)=C1,OSM S4
C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,OSM S4
C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,OSM S4
FC(OC(C=C1)=CC=C1C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)F,OSM S4
ClC1=CN=CC(NN)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(OC(F)(F)F)C=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(OC(F)F)C=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=CC=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=C(Cl)C=CC=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC(Cl)=CC=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(Cl)C=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC(F)=CC(F)=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(OCO3)C3=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(C=CC=C3)C3=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2=CC=C(C(F)(F)F)N=C2)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2CCCN(C2)C(OC(C)(C)C)=O)=N1,OSM S4
ClC1=CN=CC(N/N=C/C2CCCCC2)=N1,OSM S4
ClC1=CN=CC(N/N=C/CC)=N1,OSM S4
ClC1=CN=CC2=NN=C(C3=CC=C(OC(F)(F)F)C=C3)N21,OSM S4
ClC1=NC(N/N=C/C2=CC=NC=C2)=CN=C1,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CC(F)=CC(F)=C3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CN=C(C(F)(F)F)C=C3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3CCCCC3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3CCCN(C3)C(OC(C)(C)C)=O,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CC=CC=C3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CC(C=CC=C4)=C4C=C3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CC(OCO4)=C4C=C3,OSM S4
FC1=C(F)C=C(C(C(O)=O)O)C=C1,OSM S4
FC1=C(F)C=C(C(C(OC)=O)OC)C=C1,OSM S4
FC1=C(F)C=C(C(CO)OC)C=C1,OSM S4
ClC1=CN=CC2=NN=C(C3=CC=NC=C3)N21,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=CC(Cl)=CC=C3,OSM S4
ClC(N12)=CN=CC1=NN=C2C3=C(Cl)C=CC=C3,OSM S4
O=C(OCC)C(CO)C1=CC=CC=C1,OSM S4
OC(C(OC)=O)C1=CC=CC=C1,OSM S4
O=C(OC)C(OC)C1=CC=CC=C1,OSM S4
OCC(OC)C1=CC=CC=C1,OSM S4
O=C(OC)C(OC1OCCCC1)C2=CC=CC=C2,OSM S4
OCC(OC1OCCCC1)C2=CC=CC=C2,OSM S4
N[C@@H](CO)C1=CC=CC=C1,OSM S4
O=C(O)[C@H](NC(O)=O)C1=CC=CC=C1,OSM S4
OC[C@H](NC)C1=CC=CC=C1,OSM S4
OC[C@H](N(C)C)C1=CC=CC=C1,OSM S4
O=C(OCC)C(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(Cl)C(Cl)=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C(Cl)=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C=C4)N32,OSM S4
FC(C=C1)=C(F)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,OSM S4
ClC(C=C1)=C(Cl)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,OSM S4
ClC1=CC=CC(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)=C1Cl,OSM S4
FC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32,OSM S4
OC(C)(C)COC1=CN=CC2=NN=C(C3=CC=C(OC(F)(F)F)C=C3)N21,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CN)N32,OSM S4
OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=NC=CC=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(C)OC)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)N(C)C)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCC4=CC=CC=C4)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CC4=CC=CC=C4)=O)N32,OSM S4
FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CC4=CC=CC=C4)(=O)=O)N32,OSM S4
